b	б
d	д
f	ф
g	г
k	к
l	л
m	м
n	н
p	п
qu	кв
r	р
sj	ш
s	с
t	т
tj	ч
v	в
x	кс
z	ц
#sch	ск
sch	с
ch	х
cci	кси
cce	ксе
ccy	ксей
ci	си
ce	се
cy	сей
c	к
h	х
#e	э
#eu	э
#eeu	эу
#u	у
#ei	эй
#ey	эй
#y	эй
#ue	эй
#ui	эй
#uy	эй
e	е
i	и
eu	ё
eeu	еу
u	ю
ei	ей
ey	ей
y	ей
ue	ей
ui	ёй
uy	ёй
ae	а
oe	у
ie	и
oej	уй
oey	уй
au	ау
aue	ау
ou	ау
aei	ай
aey	ай
ay	ай
oi	ой
oy	ой
